City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
George Town,5.4112,100.3354,30.96,84,40,0.45,MY,1628567407
Zhigansk,66.7697,123.3711,21.52,41,98,8.76,RU,1628567625
Vila Franca do Campo,37.7167,-25.4333,20.23,82,36,1.25,PT,1628567626
Ponta do Sol,32.6667,-17.1,21.51,79,27,1.04,PT,1628567626
Hobart,-42.8794,147.3294,19.03,49,75,1.79,AU,1628567486
Yellowknife,62.456,-114.3525,13.29,100,75,2.57,CA,1628567611
Ushuaia,-54.8,-68.3,3.81,81,90,15.95,AR,1628567627
Nikolskoye,59.7035,30.7861,16.12,87,8,1.69,RU,1628567627
Cape Town,-33.9258,18.4232,8.95,93,0,0.51,ZA,1628567243
Butaritari,3.0707,172.7902,28.28,68,43,5.06,KI,1628567377
Mar del Plata,-38.0023,-57.5575,5.01,87,40,1.54,AR,1628567095
Maniitsoq,65.4167,-52.9,7.99,71,100,6.63,GL,1628567514
Talara,-4.5772,-81.2719,18.9,77,69,8.52,PE,1628567515
Pala,9.3642,14.9046,21.19,96,99,2.53,TD,1628567515
Busselton,-33.65,115.3333,9.49,69,93,11.94,AU,1628567038
Mataura,-46.1927,168.8643,10.27,97,100,3.87,NZ,1628567381
Port Blair,11.6667,92.75,30.02,89,40,2.06,IN,1628567515
Salalah,17.0151,54.0924,24.41,94,100,4.07,OM,1628567442
Ribeira Grande,38.5167,-28.7,21.96,84,0,1.73,PT,1628567445
Asău,46.4333,26.4,17.51,90,5,1.33,RO,1628567516
Severo-Kuril'sk,50.6789,156.125,14.29,77,31,3.43,RU,1628567299
Puerto Ayora,-0.7393,-90.3518,20.87,79,39,3.24,EC,1628567476
Leningradskiy,69.3833,178.4167,6.84,71,44,3.55,RU,1628567517
Sinnamary,5.3833,-52.95,25.5,88,13,4.58,GF,1628567366
Bredasdorp,-34.5322,20.0403,5.62,81,0,0.51,ZA,1628567297
Chicama,-7.8447,-79.1469,16.3,85,11,2.38,PE,1628567517
Aklavik,68.2191,-135.0107,9.46,73,100,3.54,CA,1628567235
Saskylakh,71.9167,114.0833,22.79,56,99,1.8,RU,1628567365
New Norfolk,-42.7826,147.0587,18.84,48,22,2.24,AU,1628567379
Chokurdakh,70.6333,147.9167,20.41,39,88,4.62,RU,1628567449
Yulara,-25.2406,130.9889,25.91,11,0,8.23,AU,1628567452
Oddur,4.1213,43.8894,20.93,78,91,7.14,SO,1628567518
Srednekolymsk,67.45,153.6833,26.08,29,51,3.75,RU,1628567519
Rikitea,-23.1203,-134.9692,22.45,80,79,8.72,PF,1628567303
Albany,42.6001,-73.9662,22.24,84,4,1.66,US,1628567032
